Circuit,optimize_name,n_qubits,optimize_gates,optimize_t,optimize_2,optimize_other,optimize_depth,optimize_depth,time
rc_adder_6,phase_basic_full_basic,14,197,47,117,33,0,0,0.06921768188476562
rc_adder_6,phase_basic_clifford_basic,14,189,49,98,42,0,0,0.07126879692077637
mod_red_21,original,11,278,119,105,54,0,0,4.76837158203125e-07
mod_red_21,basic,11,245,107,105,33,0,0,0.005785465240478516
mod_red_21,phase_basic,11,245,107,105,33,0,0,0.03773331642150879
mod_red_21,basic_full_basic,11,250,73,142,35,0,0,0.06591296195983887
mod_red_21,phase_full_basic,11,271,73,150,48,0,0,0.09832978248596191
mod_red_21,basic_clifford_basic,11,276,107,132,37,0,0,0.0495905876159668
mod_red_21,phase_clifford_basic,11,292,107,148,37,0,0,0.07771015167236328
mod_red_21,phase_basic_full_basic,11,250,73,142,35,0,0,0.09484243392944336
mod_red_21,phase_basic_clifford_basic,11,276,107,132,37,0,0,0.08071374893188477
mod_mult_55,original,9,119,49,48,22,0,0,7.152557373046875e-07
mod_mult_55,basic,9,103,43,48,12,0,0,0.002251148223876953
mod_mult_55,phase_basic,9,103,43,48,12,0,0,0.014272451400756836
mod_mult_55,basic_full_basic,9,128,35,80,13,0,0,0.019362211227416992
mod_mult_55,phase_full_basic,9,141,35,91,15,0,0,0.03179669380187988
mod_mult_55,basic_clifford_basic,9,121,43,66,12,0,0,0.013934850692749023
mod_mult_55,phase_clifford_basic,9,124,43,69,12,0,0,0.02504897117614746
mod_mult_55,phase_basic_full_basic,9,128,35,80,13,0,0,0.030467510223388672
mod_mult_55,phase_basic_clifford_basic,9,121,43,66,12,0,0,0.025789260864257812
tof_3,original,5,45,21,18,6,0,0,4.76837158203125e-07
tof_3,basic,5,44,19,18,7,0,0,0.001055002212524414
tof_3,phase_basic,5,44,19,18,7,0,0,0.004559755325317383
tof_3,basic_full_basic,5,53,15,29,9,0,0,0.0068511962890625
tof_3,phase_full_basic,5,52,15,28,9,0,0,0.009157896041870117
tof_3,basic_clifford_basic,5,56,19,30,7,0,0,0.00469517707824707
tof_3,phase_clifford_basic,5,56,19,30,7,0,0,0.007927894592285156
tof_3,phase_basic_full_basic,5,53,15,29,9,0,0,0.010313034057617188
tof_3,phase_basic_clifford_basic,5,56,19,30,7,0,0,0.008207082748413086
tof_4,original,7,75,35,30,10,0,0,4.76837158203125e-07
tof_4,basic,7,73,31,30,12,0,0,0.0016608238220214844
tof_4,phase_basic,7,73,31,30,12,0,0,0.008310079574584961
tof_4,basic_full_basic,7,85,23,47,15,0,0,0.012007474899291992
tof_4,phase_full_basic,7,73,23,35,15,0,0,0.01821756362915039
tof_4,basic_clifford_basic,7,95,31,52,12,0,0,0.008677959442138672
tof_4,phase_clifford_basic,7,95,31,52,12,0,0,0.014252185821533203
tof_4,phase_basic_full_basic,7,85,23,47,15,0,0,0.01899123191833496
tof_4,phase_basic_clifford_basic,7,95,31,52,12,0,0,0.015679597854614258
tof_5,original,9,105,49,42,14,0,0,4.76837158203125e-07
tof_5,basic,9,102,43,42,17,0,0,0.0023581981658935547
tof_5,phase_basic,9,102,43,42,17,0,0,0.012480020523071289
tof_5,basic_full_basic,9,112,31,63,18,0,0,0.019811630249023438
tof_5,phase_full_basic,9,103,31,54,18,0,0,0.02665233612060547
tof_5,basic_clifford_basic,9,134,43,74,17,0,0,0.01547384262084961
tof_5,phase_clifford_basic,9,134,43,74,17,0,0,0.021370410919189453
